RP/0/RP0/CPU0:EBD-BHA-MPL-LTE-PE-RTR-34-123# sh ip int br
Bundle-Ether2.1731             10.88.74.46     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1732             10.88.90.46     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1733             10.88.106.46    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1746             10.64.33.97     Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1872             10.64.15.222    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1929             100.81.233.78   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1930             100.82.9.78     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1931             100.82.41.78    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1989             10.64.43.222    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1991             100.81.242.142  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1992             100.82.18.142   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1993             100.82.50.142   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2054             10.64.41.113    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.2116             10.97.35.158    Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether2.2117             10.97.43.158    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.2118             10.97.51.158    Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether2.2164             10.64.48.30     Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.2176             100.81.224.14   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2177             100.82.0.14     Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.2178             100.82.32.14    Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether2.2179             100.81.224.110  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2180             100.82.0.110    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.2181             100.82.32.110   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2197             10.64.44.14     Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.2200             100.81.138.46   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2201             100.81.170.46   Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.2202             100.81.202.46   Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether2.2613             10.97.32.78     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2614             10.97.40.78     Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.2615             10.97.48.78     Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2628             10.97.37.238    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2629             10.97.45.238    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.2630             10.97.53.238    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2703             10.88.71.254    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2704             10.88.87.254    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.2705             10.88.103.254   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2718             10.22.218.246   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2719             10.22.202.246   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.2720             10.196.250.246  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2874             100.81.228.110  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.2875             100.82.4.110    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.2876             100.82.36.110   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.2898             10.64.62.94     Up              Down     MAH-GOA-MW-ONM
